Ouenza (35.95333, 8.12917) 翻译为: 温扎
Oued Zenati (36.31611, 7.16364) 翻译为: 泽纳蒂河
Oued Sly (36.10124, 1.19949) 翻译为: 斯利河
Oued Rhiou (35.96124, 0.91896) 翻译为: 里乌河
Oued Fodda (36.18503, 1.53299) 翻译为: 福达河
Oued el Alleug (36.55528, 2.79028) 翻译为: 阿勒格河
Oued el Abtal (35.45595, 0.68778) 翻译为: 阿卜塔尔河
Ouargla (31.94932, 5.32502) 翻译为: 瓦尔格拉
Oran (35.69906, -0.63588) 翻译为: 奥兰
N'Gaous (35.555, 5.61056) 翻译为: 恩高斯
Nedroma (35.01361, -1.74799) 翻译为: 内德罗马
Naciria (36.74625, 3.83163) 翻译为: 纳西里亚
Naama (33.26667, -0.31667) 翻译为: 纳阿马
M'Sila (35.70889, 4.53722) 翻译为: 姆西拉
Mouzaia (36.46695, 2.68991) 翻译为: 穆扎亚
Mostaganem (35.93115, 0.08918) 翻译为: 莫斯塔加奈姆
Mohammadia (35.58861, 0.06861) 翻译为: 穆罕默迪亚
Miliana (36.30554, 2.2248) 翻译为: 米利亚纳
Mila (36.45028, 6.26444) 翻译为: 米拉
Metlili Chaamba (32.26667, 3.63333) 翻译为: 梅特利利沙姆巴
Metarfa (28.58437, -0.15039) 翻译为: 梅塔尔法
Messaad (34.15429, 3.50309) 翻译为: 梅萨德
Meskiana (35.63058, 7.66606) 翻译为: 梅斯基亚纳
Mers el Kebir (35.7279, -0.7081) 翻译为: 梅尔斯凯比尔
Merouana (35.63106, 5.91186) 翻译为: 梅鲁阿纳
Melouza (35.97999, 4.18665) 翻译为: 梅卢扎
Mekla (36.68178, 4.26378) 翻译为: 梅克拉
Megarine (33.19195, 6.08695) 翻译为: 梅加林
Meftah (36.6204, 3.22248) 翻译为: 梅夫塔赫
Medea (36.26417, 2.75393) 翻译为: 米迪亚
Draa Klalouche (35.79234, 5.97706) 翻译为: 德拉克拉卢什
Mecheria (33.54453, -0.28117) 翻译为: 梅谢里亚
M'Daourouch (36.07821, 7.8196) 翻译为: 姆达乌鲁什
Mazouna (36.12232, 0.89865) 翻译为: 马祖纳
Mascara (35.39664, 0.14027) 翻译为: 马斯卡拉
Mansourah (36.08725, 4.45192) 翻译为: 曼苏拉
Mansoura (34.86158, -1.33935) 翻译为: 曼苏拉
Makouda (36.78567, 4.06273) 翻译为: 马库达
Maghnia (34.84969, -1.72753) 翻译为: 马格尼亚
