Iontapede (41.59756, 14.65883) 翻译为: 艾翁塔佩德
Rimaggio (43.75718, 11.33159) 翻译为: 里马焦
Colle della Torre (42.00628, 14.94959) 翻译为: 托雷山
Sant'Eusanio (41.5295, 14.15056) 翻译为: 圣欧萨尼奥
Cruci (41.78595, 12.94767) 翻译为: 克鲁奇
Cortexandra (39.29091, 9.07054) 翻译为: 科尔特桑德拉
Romanore (45.06701, 10.75694) 翻译为: 罗马诺雷
Neri (43.5339, 11.46031) 翻译为: 内里
Acquarola (40.76872, 14.72527) 翻译为: 阿夸罗拉
Crist (45.97439, 10.32193) 翻译为: 克里斯特
Bellolampo (38.13613, 13.27224) 翻译为: 贝洛兰波
Cinquegrana (37.47323, 14.67068) 翻译为: 辛克格拉纳
Pagnano (45.8088, 11.88876) 翻译为: 帕尼亚诺
Santa Venere (40.4106, 15.0123) 翻译为: 圣维内雷
Amendola (39.34338, 16.13687) 翻译为: 阿门多拉
San Matteo (45.0173, 10.62958) 翻译为: 圣马泰奥
Coarezza (45.68145, 8.64488) 翻译为: 科阿雷扎
Casale della Madonna (45.7766, 13.16768) 翻译为: 圣母之家
Ciorani (45.98824, 27.21614) 翻译为: 乔拉尼
NeyranEtabloz (45.73154, 7.41429) 翻译为: 内兰埃塔布洛兹
Seregnano (46.0906, 11.19754) 翻译为: 塞雷尼亚诺
Roncoleva (45.25078, 10.91095) 翻译为: 隆科莱瓦
Sant'Atto (42.70725, 13.80713) 翻译为: 圣阿托
CarediaLacco (37.95611, 15.79663) 翻译为: 卡雷迪亚拉科
Lobbi (44.92978, 8.71844) 翻译为: 洛比
Cavasagra (45.66228, 12.05469) 翻译为: 卡瓦萨格拉
Ponte d'Oro (43.76094, 10.36378) 翻译为: 金桥
Briale (45.70366, 10.31706) 翻译为: 布里亚莱
Ronco Campo Canneto (44.9053, 10.25959) 翻译为: 隆科坎波卡内托
Corica (39.08471, 16.08772) 翻译为: 科里卡
Camisasca (45.76698, 9.25563) 翻译为: 卡米萨斯卡
FerrieraPontasso (44.51239, 8.87729) 翻译为: 费里耶拉蓬塔索
Pilastrello (44.73175, 10.37373) 翻译为: 皮拉斯特雷洛
Arenella (40.85734, 14.2228) 翻译为: 阿雷内拉
Pont SuazAmpaillant (45.72686, 7.31874) 翻译为: 蓬苏阿兹安帕扬
Corsagna (43.97748, 10.56394) 翻译为: 科尔萨尼亚
Selvotta (41.41952, 14.08748) 翻译为: 塞尔沃塔
Valtrighe (45.69571, 9.5367) 翻译为: 瓦尔特里格
Castelletto Po (45.06903, 9.10056) 翻译为: 卡斯特莱托波
Cornei (46.14098, 12.38097) 翻译为: 科尔内伊
Madrigale (43.56947, 11.54852) 翻译为: 马德里加莱
Arente (39.38263, 16.26277) 翻译为: 阿伦特
Pintura (43.30536, 13.58082) 翻译为: 平图拉
Rotabile (41.66093, 13.46405) 翻译为: 罗塔比莱
Cadilana (45.33027, 9.5448) 翻译为: 卡迪拉纳
Vedrana (44.55653, 11.5731) 翻译为: 维德拉纳
San Potito (44.43234, 11.93994) 翻译为: 圣波蒂托
Cerretti (43.72409, 10.69908) 翻译为: 切雷蒂
Pantano (41.43589, 15.55384) 翻译为: 潘塔诺
Somaggia (46.25371, 9.42139) 翻译为: 索马贾
Ronchi (45.59402, 12.00038) 翻译为: 隆基
Barcaccia (44.66332, 10.429) 翻译为: 巴尔卡恰
Miradolo (44.87381, 7.304) 翻译为: 米拉多洛
Bustighera (45.40008, 9.34269) 翻译为: 布斯蒂盖拉
Calignano (45.213, 9.28155) 翻译为: 卡利尼亚诺
Colombarone (43.94782, 12.79493) 翻译为: 科隆巴罗内
Crava (44.43001, 7.74493) 翻译为: 克拉瓦
Terraglione (45.48415, 11.89664) 翻译为: 特拉利奥内
CuccoRiviere (39.70134, 15.81562) 翻译为: 库科里维耶雷
Grole (45.37471, 10.52819) 翻译为: 格罗莱
Pastene (41.0823, 14.81337) 翻译为: 帕斯特内
Mole Bisleti (41.68131, 13.37579) 翻译为: 莫莱比斯莱蒂
Auricarro (41.04214, 16.68371) 翻译为: 奥里卡罗
Moirago (45.36965, 9.13702) 翻译为: 莫伊拉戈
Segno (46.30578, 11.07466) 翻译为: 塞尼奥
Viotto (44.90318, 7.43946) 翻译为: 维奥托
Ramodipalo Rasa (45.07974, 11.56105) 翻译为: 拉莫迪帕洛拉萨
Piani (40.81919, 15.22932) 翻译为: 皮亚尼
Poggiana (45.71905, 11.88178) 翻译为: 波贾纳
Case Dosa (45.50016, 12.2014) 翻译为: 卡塞多萨
Ponte All'Ania (44.0417, 10.49405) 翻译为: 安尼亚桥
Grangia (45.14244, 7.16252) 翻译为: 格兰贾
Santa Maria a Valle (42.59279, 14.07949) 翻译为: 圣玛丽亚瓦莱
Callianetto (44.96457, 8.19405) 翻译为: 卡利亚内托
Borgo Verde (45.60023, 12.25983) 翻译为: 绿色村庄
Pratora (38.9116, 16.53505) 翻译为: 普拉托拉
Canalello (38.01849, 16.13353) 翻译为: 卡纳莱洛
Masserini (45.80269, 9.83128) 翻译为: 马塞里尼
Craco Peschiera (40.35905, 16.49635) 翻译为: 克拉科佩斯基耶拉
San Vincenzo a Torri (43.70059, 11.09628) 翻译为: 圣文森佐托里
Tanca Marchese (39.74036, 8.60709) 翻译为: 坦卡马尔凯塞
Ciliegi (43.66621, 11.45872) 翻译为: 奇列吉
Roccazzo (37.05191, 14.62948) 翻译为: 罗卡佐
Bedero (45.97776, 8.71852) 翻译为: 贝德罗
Corticella (44.63466, 10.7519) 翻译为: 科尔蒂切拉
Lido Azzurro (40.5165, 17.13837) 翻译为: 蓝色海滩
Le Botteghe (43.74379, 10.81653) 翻译为: 勒博特盖
Nubia (37.97798, 12.51346) 翻译为: 努比亚
Mamiano (44.67416, 10.34196) 翻译为: 马米亚诺
Borgo San Pietro (42.49476, 12.88211) 翻译为: 圣彼得村
Colla Maffone (38.09366, 14.97433) 翻译为: 科拉马福内
Tre Berte (43.0975, 11.89049) 翻译为: 特雷贝尔特
Via Fausto Coppi (41.21016, 14.52772) 翻译为: 法乌斯托科皮街
Rina (37.94256, 15.33403) 翻译为: 里纳
Camporinaldo (45.16381, 9.47024) 翻译为: 坎波里纳尔多
Borgo Europa (36.927, 14.46711) 翻译为: 欧洲村
Campovico (46.14606, 9.5897) 翻译为: 坎波维科
Madregolo (44.79223, 10.2209) 翻译为: 马德雷戈洛
Belvedere Lidia (42.21688, 12.30964) 翻译为: 丽迪亚观景台
CavinBotti (45.49949, 12.06268) 翻译为: 卡文博蒂
